. - Down,. - Up,5 - Down,5 - Up,a - Down,a - Up,e - Down,e - Up,i - Down,i - Up,l - Down,n - Down,n - Up,o - Down,o - Up,r - Down,r - Up,t - Down,t - Up,t - I down,I - e down,e-5 down,5 - r down,r - o down,o - a down,a - n down,n - l down,. = t up,t - I up,I - e up,e - 5 up,5 - r up,r - o  up,o - a up,a - n up
3.89E-05,0.060380936,1.036707878,1.132827044,1.524531841,1.636713982,0.316908836,0.428822041,0.236911058,0.33248806,1.668720007,1.604691982,1.692736864,1.404887915,1.479264021,1.308573961,1.42999506,0.120542049,0.232650995,0.116369009,0.079997778,0.719799042,0.271866083,0.096313953,0.119643927,0.080160141,0.064028025,0.17227006,0.099837065,0.096333981,0.704005003,0.297168016,0.049268961,0.157449961,0.056022882
2.19E-05,0.070139885,0.750094891,0.838138819,1.118626833,1.246184826,0.29940486,0.398895979,0.23250103,0.314771891,1.26999402,1.213106871,1.285876989,1.029999018,1.113969803,0.958230019,1.062145948,0.087893963,0.206185818,0.144607067,0.06690383,0.450690031,0.208135128,0.071768999,0.088627815,0.094480038,0.05688715,0.136045933,0.108586073,0.084124088,0.43924284,0.22400713,0.051823854,0.132215023,0.039692163
2.00E-05,0.116919994,0.950268984,1.029211998,1.30062604,1.429054022,0.430338144,0.516905069,0.317011118,0.434576035,1.460965157,1.380933046,1.478620052,1.205084085,1.285092115,1.14114213,1.245553017,0.214349031,0.320795059,0.102662086,0.113327026,0.51993084,0.190873146,0.063941956,0.095541954,0.080307007,0.08003211,0.203875065,0.113780975,0.082329035,0.512306929,0.216341019,0.039539099,0.143961906,0.049566031
2.12E-05,0.079316139,0.863800049,0.925144196,1.224560022,1.356759071,0.335811138,0.431203127,0.259968996,0.359891176,1.375800133,1.295751095,1.379999161,1.127591133,1.208068132,1.071730137,1.159388065,0.127633095,0.243691206,0.132335901,0.075842142,0.527988911,0.207930088,0.055860996,0.096968889,0.071191072,0.080049038,0.164375067,0.11619997,0.071311951,0.493941069,0.23424387,0.048680067,0.148690939,0.023240089
1.60E-05,0.069702864,0.678002834,0.765642881,1.054693937,1.181795835,0.32575798,0.429648876,0.257282972,0.338729858,1.22128582,1.149875879,1.225792885,0.957753897,1.029822826,0.885871887,0.989534855,0.117863894,0.229837894,0.139419079,0.068475008,0.352244854,0.207869053,0.07188201,0.096940041,0.095181942,0.071409941,0.160135031,0.108891964,0.090919018,0.335994005,0.223891973,0.040287971,0.151973009,0.043997049
2.00E-05,0.096011162,0.767959118,0.864197016,1.158127069,1.279560089,0.343184948,0.415802002,0.239984989,0.319991112,1.37610817,1.255934954,1.357125998,1.072085142,1.141281128,0.999861956,1.095520973,0.143293142,0.259642124,0.096691847,0.103199959,0.42477417,0.231902838,0.072223186,0.086041927,0.097807884,0.120173216,0.163630962,0.060348988,0.09581089,0.448395014,0.231323957,0.045760155,0.138278961,0.077565908
1.60E-05,0.095878839,0.679403067,0.791790009,1.089684963,1.20744586,0.279942036,0.399713993,0.24209094,0.311774015,1.24740386,1.175880909,1.272305965,0.999692917,1.063549995,0.911419868,1.03154397,0.111512899,0.21548605,0.130578041,0.037851095,0.399461031,0.232016802,0.088273048,0.089992046,0.086195946,0.071522951,0.11960721,0.096287966,0.087939978,0.392076015,0.239753962,0.032006025,0.143895864,0.064860106
2.72E-05,0.095857143,0.832099199,0.927950144,1.233540058,1.352070093,0.400328159,0.511988163,0.255820036,0.352302074,1.456057072,1.328044176,1.415575027,1.150420189,1.21600008,1.056001186,1.167907,0.135933161,0.268424034,0.119886875,0.144508123,0.43177104,0.223901987,0.094419003,0.083119869,0.094504118,0.128012896,0.172566891,0.08387804,0.159686089,0.415961981,0.239956856,0.048093081,0.136070013,0.063504934
2.10E-05,0.063922167,0.791587114,0.887866974,1.18386817,1.311680079,0.383782148,0.479865074,0.279812098,0.398990154,1.344114065,1.264491081,1.348674059,1.081250191,1.167493105,1.007780075,1.120306015,0.184386015,0.300114155,0.095426083,0.103970051,0.407804966,0.216192961,0.073470116,0.102617979,0.080622911,0.079622984,0.236191988,0.098875999,0.08087492,0.4080019,0.232439041,0.04718709,0.144186974,0.03699398
1.50E-05,0.086577892,0.790569067,0.886689901,1.19053793,1.334753036,0.421113968,0.534534931,0.334630013,0.425154924,1.343869925,1.262836933,1.368422031,1.086509943,1.166733027,1.006675959,1.118375063,0.222846985,0.354763031,0.111783028,0.086483955,0.369455099,0.216106892,0.079833984,0.104027987,0.072299004,0.081032991,0.268185139,0.070391893,0.109380007,0.35215497,0.231685162,0.048357964,0.16802001,0.033668995
